Word,meanings,image_file_path,image_url
abridgement,,,
abscond,"absconded
absconding
absconded
abscondre
abscondere
ab(s)-
condere
com-
dere


so you can see more of Mickey Bach's cartoons.","images\abscond_13_0.jpg,images\abscond_13_1.jpg,images\abscond_13_2.jpg","http://www.wordinfo.info/words/images/abscond-2.jpg,http://www.wordinfo.info/words/images/abscond-1.jpg,http://www.wordinfo.info/words/images/abscond-3.jpg"
abstruse,"abstruse
2. Pertaining to something difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge: Some scientists may understand Einstein's theory of relativity, however for most nonscientists, it continues to be an
abstruse
3. Etymology: from Latin
abstrusus
abstrudere
ab-
trudere



so you can see more of Mickey Bach's cartoons.","images\abstruse_14_0.jpg,images\abstruse_14_1.jpg,images\abstruse_14_2.jpg,images\abstruse_14_3.jpg","http://www.wordinfo.info/words/images/abstruse-1.jpg,http://www.wordinfo.info/words/images/abstruse-3.jpg,http://www.wordinfo.info/words/images/abstruse-2.jpg,http://www.wordinfo.info/words/images/abstruse-4.jpg"
abysmal,"abysmal
2. Incapable of being measured or even understood; incomprehensible, inscrutable: Kristy felt like an
abysmal
3. Etymology: from the year 1656, formed in English from obsolete
abysm
abisme
abyssimus
so you can see more of Mickey Bach's cartoons.",images\abysmal_15_0.jpg,http://www.wordinfo.info/words/images/abysmal-1.jpg
abyss,,,
accede,acceded,,
acclaimed,"acclaimed
acclaimed",,
accolade,"accolades
2. A special acknowledgment; an award: Mack was very pleased with the
accolade
3. A ceremonial bestowal of knighthood; a light touch on the shoulder with the flat side of the sword or formerly by an embrace, done during the ceremony of conferring knighthood: The squire knelt before the king and received an
accolade
4. Etymology: from French,
acolada
accollare
ad-
collum
so you can see more of Mickey Bach's cartoons.",images\accolade_19_0.jpg,http://www.wordinfo.info/words/images/accolade-1.jpg
accost,"2. To approach and to speak to someone boldly or aggressively, as with a demand or request.
3. Etymology: via French and ultimately from Latin
accostare
costa
coast

Costa
accost
ad-
costa
accostare
accoster
accost",,
accredit,"accredits
2. Officially to recognize a person or organization as having met the standards needed to accomplish what is required: The new dictionary program was
accredited
3. To send an ambassador, or other important official, to represent a country: Victor will be
accredited",,
acomplice,,,
acquaint,"with
2. To furnish with knowledge; to inform (usually followed by
with
3. To bring into social contact; to introduce; to make familiar (usually followed by
with",,
acquit,"acquitted
2. Etymology: ultimately related to
quiet
quies
quiet
quietare
quitare
ad-
a(c)quiter

Dictionary of Word Origins
Arcade Publishing; New York; 1990; page 6.
so you can see more of Mickey Bach's cartoons.",images\acquit_24_0.jpg,http://www.wordinfo.info/words/images/acquit-1.jpg
acrid,"acrid
2. Characterizing a person being irritating in behavior or sarcastic in speech, writing, etc.: When Jim was asked why he failed to arrive for the business meeting on time, he replied with an
acrid

so you can see more of Mickey Bach's cartoons.","images\acrid_25_0.jpg,images\acrid_25_1.jpg","http://www.wordinfo.info/words/images/acrid-1.jpg,http://www.wordinfo.info/words/images/acrid-2.jpg"
acrimony,"acrimonies
2. Emotional bitterness and angry feelings: Ted's dispute with his wife started again with increased
acrimony
so you can see more of Mickey Bach's cartoons.",images\acrimony_26_0.jpg,http://www.wordinfo.info/words/images/acrimony-1.jpg
acronym,acronyms,,
acumen,"acuity
acuity
acuity
acumen
2. Quickness in understanding and dealing with a situation; keen insight: The student contestant had the
acumen
acute
2. Extremely severe and sharp; such as, an intense pain: Tyrone is suffering from
acute
3. Keenly perceptive or discerning, ingenious: Einstein is said to have been a man of uncommonly
acute","images\acumen_28_0.jpg,images\acumen_28_1.jpg","http://www.wordinfo.info/words/images/acumen-1.jpg,http://www.wordinfo.info/words/images/acumen-3.jpg"
adage,"adages
2. A saying that sets forth a general truth and which has gained credit through long use: Benjamin Franklin, an historical figure in United States History, often used a simple
adage
3. Etymology: formed Latin
adagium
ad
agi
so you can see more of Mickey Bach's cartoons.",images\adage_29_0.jpg,http://www.wordinfo.info/words/images/adage-1.jpg
adamant,,"images\adamant_30_0.jpg,images\adamant_30_1.jpg,images\adamant_30_2.jpg,images\adamant_30_3.jpg","http://www.wordinfo.info/words/images/adamant-1.jpg,http://www.wordinfo.info/words/images/adamant-2.jpg,http://www.wordinfo.info/words/images/adamant-3.jpg,http://www.wordinfo.info/words/images/adamant-4.jpg"
addle,"addles
addled
addling
3. Etymology: from a Middle English word from the Old English
adela
adel",images\addle_31_0.jpg,http://www.wordinfo.info/words/images/addlebrained-1.jpg
adduce,"adducing
2. To present as pertinent, conclusive, or persuasive confirmation that something is true beyond any doubt: The speaker
adduced
adduce
so you can see more of Mickey Bach's cartoons.",images\adduce_32_0.jpg,http://www.wordinfo.info/words/images/adduce-1.jpg
adjudicate,"adjudicated
2. To make an official judgement about a problem or a dispute in a law case: The two families were constantly arguing about the fence along their property lines causing them to go to court. The judge
adjudicated
3. Etymology: from Latin
ad-
judicare",,
adjure,"adjured
adjure
adjure
adjured
adjures
adjuring
4. Etymology: from Latin
adjurare
ad-
jurare
so you can see more of Mickey Bach's cartoons.",images\adjure_34_0.jpg,http://www.wordinfo.info/words/images/adjure-1.jpg
admonish,"admonished
2. To counsel in terms of someone's behavior: The assistant principal of the school
admonished
3. To advise a person to do or, more often, not to do something: The judge was
admonishing
admonishes

so you can see more of Mickey Bach's cartoons.","images\admonish_35_0.jpg,images\admonish_35_1.jpg","http://www.wordinfo.info/words/images/admonish-1.jpg,http://www.wordinfo.info/words/images/admonish-2.jpg"
admonitory,admonitory,,
ado,,,
adorn,"adorned
2. To add to the beauty or glory of something or someone: Grace
adorned",,
adroit,"adroit
2. A reference to someone who is very clever and competent: Steve is an
adroit
3. Etymology: from
dexterous
adroit
à droit
à
droit
directum
directus


so you can see more of Mickey Bach's cartoons.","images\adroit_39_0.jpg,images\adroit_39_1.jpg,images\adroit_39_2.jpg","http://www.wordinfo.info/words/images/adroit-1.jpg,http://www.wordinfo.info/words/images/adroit-2.jpg,http://www.wordinfo.info/words/images/adroit-3.jpg"
adulteration,,,
advent,"Advent
2. The coming of the Lord Jesus Christ as Saviour of the world; the Incarnation: The
Advent
3. Etymology: from Latin,
adventus,",,
adventitious,"adventitious
2. Regarding something that appears sporadically, or out of the normal place: Jane noticed in her garden that some of the flowers she had planted in the fall were evidently quite
adventitious
3. Not natural or hereditary; pertaining to a growth in an unexpected place on a plant: Examples of such
adventitious
Adventitious",,
adversary,"adversaries
2. Etymology: from Anglo-French
adverser
adversier
adversarius
adversus

so you can see more of Mickey Bach's cartoons.","images\adversary_43_0.jpg,images\adversary_43_1.jpg","http://www.wordinfo.info/words/images/adversary-1.jpg,http://www.wordinfo.info/words/images/adversary-2.jpg"
adversity,"adversities
2. An extremely unfavorable experience or harmful event: The strong winter winds with freezing rains or flooding have been
adversities


so you can see more of Mickey Bach's cartoons.","images\adversity_44_0.jpg,images\adversity_44_1.jpg,images\adversity_44_2.jpg","http://www.wordinfo.info/words/images/adversity-1.jpg,http://www.wordinfo.info/words/images/adversity-2.jpg,http://www.wordinfo.info/words/images/adversity-3.jpg"
advert,,,
aeon,"aeons
2. In geology, a significant division of time: Dr. Green talked about the
eons",,
affable,"affable

so you can see more of Mickey Bach's cartoons.","images\affable_47_0.jpg,images\affable_47_1.jpg,images\affable_47_2.jpg","http://www.wordinfo.info/words/images/affable-1.jpg,http://www.wordinfo.info/words/images/affable-3.jpg,http://www.wordinfo.info/words/images/affable-2.jpg"
affinity,"affinity
2. Family resemblance or a relationship by marriage: There was a special
affinity
3. An inherent similarity between people or things: There is a close
affinity
affinity
Affinity
affinitas
affinity
so you can see more of Mickey Bach's cartoons.",images\affinity_48_0.jpg,http://www.wordinfo.info/words/images/affinity-1.jpg
affirm,"2. To declare support or admiration for someone or something: ""The government affirmed its commitment to solve the financial problems.""
3. To declare positively, or firmly, to maintain that something is true.
4. To state something as a fact and so to assert strongly and publicly.
5. To make a statement formally in court, but not under oath: ""She affirmed that she was telling the truth and nothing but the truth.""",,
agape,,,
aggravate,"2. To annoy, to exasperate, to anger, to vex, to nettle, and to affront: ""His bossy attitude aggravates me.""",,
agile,"agile
2. The ability to think quickly and intelligently; alert: Even though Ingrid was a centenarian, she still had an
agile",,
agog,"agog
2. Referring to great interest in some action: The news about the new laptops has computer users
agog
3. Etymology: from Old French
a gogue
gogue
so you can see more of Mickey Bach's cartoons.",images\agog_53_0.jpg,http://www.wordinfo.info/words/images/agog-1.jpg
alacrity,"alacrity
2. Promptness or eagerness and speedy readiness to respond to something: Bryan answered the call for assistance from his supervisor with
alacrity
3. Agility and nimbleness: Despite Mike's advanced age, he moved around with
alacrity
4. Etymology: from Latin
alacritatem, alacritas
alacer, alacris


for a list of additional Mickey Bach illustrations.","images\alacrity_54_0.jpg,images\alacrity_54_1.jpg,images\alacrity_54_2.jpg","http://www.wordinfo.info/words/images/alacrity-1.jpg,http://www.wordinfo.info/words/images/alacrity-2.jpg,http://www.wordinfo.info/words/images/Alacrity-color-1.jpg"
alcove,,,
alienate,"alienated
2. To cause someone to change his or her previously friendly or supportive attitude and to become unfriendly, unsympathetic, or hostile: The disagreement between the two girls who lived together
alienated
3. To make someone feel that he or she does not belong to or is not allowed to share in something, or is isolated from it: People with a meagre amount of income often feel
alienated
4. To cause something, especially someone's affections, to be directed toward somebody or something else: Susan was very upset with her boyfriend's rude behaviour towards her, which
alienated
5. To transfer property, or a legal right, to the ownership of another person, especially by an act of the owner rather than by inheritance: Gregory, the landlord of the condo, decided to
alienate
so you can see more of Mickey Bach's cartoons.",images\alienate_56_0.jpg,http://www.wordinfo.info/words/images/alienate-1.jpg
aloof,aloof,,
amalgamate,"amalgamated
2. To blend with another metal; to alloy a metal with mercury, or to be alloyed with mercury: Silver must be
amalgamated
3. Etymology: from 1660, in Boyle's
New Experiments
amalgamate
amalgamatus
amalgamare
amalgamate
amalgamate",,
ambient,ambient,images\ambient_59_0.jpg,http://www.wordinfo.info/words/images/ambient-sound-1.jpg
ambiguous,"ambiguous
2. Relating to something of a doubtful or uncertain nature; regarding an aspect difficult to comprehend, to distinguish, or to classify: It was clear from Jim's note to his parents that he had left the country, but as to where his destination would be, he was
ambiguous
3. Pertaining to a situation which lacks clearness or definiteness; obscure; indistinct:
Ambiguous
4. Etymology: from Latin
ambiguus
ambigere
ambi-
agere
ambiguous



for a list of additional Mickey Bach illustrations.
amb-
agere
ambigere
ambiguus
ambiguous
Picturesque Word Origins
Springfield, Massachusetts; 1933; page 15.","images\ambiguous_60_0.jpg,images\ambiguous_60_1.jpg,images\ambiguous_60_2.jpg,images\ambiguous_60_3.jpg","http://www.wordinfo.info/words/images/ambiguous-2.jpg,http://www.wordinfo.info/words/images/ambiguous-3.jpg,http://www.wordinfo.info/words/images/ambiguous-4.jpg,http://www.wordinfo.info/words/images/ambiguous-5.jpg"
amble,amble,,
amiable,"amiable
2. Conveying cordiality and congeniality with each other: There was an
amiable

so you can see more of Mickey Bach's cartoons.","images\amiable_62_0.jpg,images\amiable_62_1.jpg","http://www.wordinfo.info/words/images/amiable-1.jpg,http://www.wordinfo.info/words/images/amiable-2.jpg"
amicable,"Amiable
amiable
amicable","images\amicable_63_0.jpg,images\amicable_63_1.jpg","http://www.wordinfo.info/words/images/amicable-1.jpg,http://www.wordinfo.info/words/images/amicable-2.jpg"
amnesia,"amnesia
Amnesias

for a list of additional Mickey Bach illustrations.","images\amnesia_64_0.jpg,images\amnesia_64_1.jpg","http://www.wordinfo.info/words/images/amnesia-2.jpg,http://www.wordinfo.info/words/images/amnesia-1.jpg"
amorphous,"amorphous
2. Not belonging to a particular type or pattern: Toby's
amorphous
3. Of no particular kind or character; indeterminate; having no pattern or structure; unorganized: Kari has an
amorphous
amorphous
4. In petrology, a mineral occurring in a mass, as without stratification, form, or crystalline structure: The
amorphous

for a list of additional Mickey Bach illustrations.","images\amorphous_65_0.jpg,images\amorphous_65_1.jpg","http://www.wordinfo.info/words/images/amorphous-1.jpg,http://www.wordinfo.info/words/images/amorphous-2.jpg"
analogy,"2. A form of logical inference or an instance of it, based on the assumption that if two things are known to be alike in some respects, then they must be alike in other respects.
3. The similarities in function, but differences in evolutionary origin, of body structures in different organisms; for example, the wing of a bird is analogous to the wing of an insect, since both are used for flight, however, there is no common ancestral origin in the evolution of these structures.
6. Etymology: from Latin
analogia
analogia
ana-
logos",,
anarchy,"anarchy
2. A situation in which there is a total lack of organization or control: In the wake of the riots, it appeared that total
anarchy
3. Political disorder and violence; lawlessness: The history book provides accounts of several periods of political
anarchy
4. Disorder in any sphere of activity: While looking through the microscope at the microbes, it appeared that a state of
anarchy
charity
anarchy",,
ancillary,"ancillary
2. Referring to an individual who supports professional people; such as, doctors and teachers to help them in their work: Jack, the teachers aid, was considered to be an
ancillary
3. Relating to something that is of secondary importance: Mildred took a great deal of pride in her work, even though the pay was poor and most of her duties were
ancillary
4. Etymology: from Latin
ancillaris
ancilla
anculus
ambi-
so you can see more of Mickey Bach's cartoons.",images\ancillary_68_0.jpg,http://www.wordinfo.info/words/images/ancillary-1.jpg
anguish,"anguish
2. Etymology: from Old French
anguisse, angoisse
angustia
ang(u)ere

so you can see more of Mickey Bach's cartoons.","images\anguish_69_0.jpg,images\anguish_69_1.jpg","http://www.wordinfo.info/words/images/anguish-1.jpg,http://www.wordinfo.info/words/images/anguish-2.jpg"
animosity,"animosity
2. A very strong and hostile dislike or hatred for others or for ones situation: Gertrude, a TV reporter, developed
animosity
3. Etymology:
animosity
equi animositas
Brewer's Dictionary of Phrase and Fable
animosity




so you can see more of Mickey Bach's cartoons.","images\animosity_70_0.jpg,images\animosity_70_1.jpg,images\animosity_70_2.jpg,images\animosity_70_3.jpg","http://www.wordinfo.info/words/images/animosity-1.jpg,http://www.wordinfo.info/words/images/animosity-2.jpg,http://www.wordinfo.info/words/images/animosity-3.jpg,http://www.wordinfo.info/words/images/animosity-4.jpg"
annihilate,,,
annuity,,,
annul,"annual
2. A plant that lives for only one year or season: Pearl planted some
annual
annual
annulled
Perennial
2. Lasting indefinitely; perpetual, continual: Lydia is sitting there with that
perennial
3. In botany, having a life span of more than two years; such as, a recurring plant: There are many
perennial",images\annul_73_0.jpg,http://www.wordinfo.info/words/images/annul-1.jpg
anoint,,,
anomaly,"2. Anything that is peculiar, strange, irregular, abnormal, or difficult to classify.
3. In astronomy, the angle in a planet's orbit or the angle between a planet's position, the sun, and the point in the planet's orbit when it is closest to the sun; or the angular deviation, as observed from the sun, of a planet from its perihelion.
4. An odd, peculiar, or strange condition, situation, quality, etc. and an incongruity or inconsistency.
5. People or things that are different from what is usual, or not in agreement with something else and therefore not satisfactory: ""The government's statistical anomalies can make it difficult to compare economic data from one year to the next.""
6. Abnormalities or deviations: ""Anomalies is a word among computer people when complex systems produce outputs that are inexplicable or unexplainable.""
7. Etymology: from Latin
anomalia
anomalia
anomalos
an-
homalos
homos
for a list of additional Mickey Bach illustrations.",images\anomaly_75_0.jpg,http://www.wordinfo.info/words/images/anomaly-1.jpg
anon,,,
allegiance,"allegiances
so you can see more of Mickey Bach's cartoons.",images\allegiance_77_0.jpg,http://www.wordinfo.info/words/images/allegiance-1.jpg
alleviate,"alleviate
2. To make easier to endure; to lessen; to mitigate: Jim found that by keeping busy it helped to
alleviate
3. From Late Latin
alleviatus
alleviare
ad-
levis

for a list of additional Mickey Bach illustrations.","images\alleviate_78_0.jpg,images\alleviate_78_1.jpg","http://www.wordinfo.info/words/images/alleviate-1.jpg,http://www.wordinfo.info/words/images/alleviate-2.jpg"
allocate,"allocated
2. To distribute something according to a plan: The government agency announced a plan to
allocate
for a list of additional Mickey Bach illustrations.",images\allocate_79_0.jpg,http://www.wordinfo.info/words/images/allocate-1.jpg
alloy,"allay
2. To rest, to relieve: Medicine will
allay
alley
2. Narrow passage: This
alley
Alley
alley
alleys
alleys
alloy
ally
allies
ally
allies
ally",,
allure,"allure
allure",,
arcade,"arcade
2. A series of arches supported by columns, piers, or pillars: The older couple decided to enhance their lovely garden with an
arcade
3. A roofed passage way or lane: The
arcade
4. A commercial establishment featuring rows of coin-operated games: Lynn's grandfather used to tell stories about his visits to the
arcade",,
arcane,"arcane
2. A reference to something that is secret or mysterious: Helena was known for acquiring
arcane
arcane
so you can see more of Mickey Bach's cartoons.",images\arcane_83_0.jpg,http://www.wordinfo.info/words/images/arcane-1.jpg
archaic,"archaic
2. In a linguistic form, commonly used in an earlier time but rare in present-day usage except to suggest the older time, as in religious rituals or historical novels: Examples of
archaic
3. Depicting the earliest stage; prior to full development: There was an
archaic
archaic
archaic
5. A term used to describe an early stage in the development of civilization: In New World chronology, an
archaic
archaic
archaic
archaic
archaic
archaic

Encyclopaedia Britannica, Inc.
1968, Vol.II, Pages 281, 238; and Vol. X, Page 835.
so you can see more of Mickey Bach's cartoons.",images\archaic_84_0.jpg,http://www.wordinfo.info/words/images/archaic-1.jpg
archives,"archives
2. In computer science: a long-term storage area, often on magnetic tape, for backup copies, of files or for files that are no longer in active use; a file containing one or more files in compressed format for more efficient storage and transfer: Glenda made sure her data was safely stored in the
archives
3. A repository for stored recollections or information: Someone has said that the
archive
so you can see more of Mickey Bach's cartoons.",images\archives_85_0.jpg,http://www.wordinfo.info/words/images/archives-1.jpg
arid,"2. Being without moisture; extremely dry; parched; such as, arid land; an arid climate.
3. Lacking interest or feeling; lifeless and dull: ""She stared in a technically perfect but arid musical performance.""
4. Lacking interest or imaginativeness; sterile; jejune (devoid of significance or interest, dull): ""The speaker made an arid treatment of an exciting topic.""",,
allay,"allay
2. To rest, to relieve: Medicine will
allay
alley
2. Narrow passage: This
alley
Alley
alley
alleys
alleys
alloy
ally
allies
ally
allies
ally",images\allay_87_0.jpg,http://www.wordinfo.info/words/images/allay-1.jpg
anon,,,
antidote,"anecdote
anecdote
antidote
2. Anything that works against an unwanted condition; a remedy or a cure: A hobby is considered a good
antidote
antidote",images\antidote_89_0.jpg,http://www.wordinfo.info/words/images/antidote-1.jpg
apiary,"apiaries
apiary
so you can see more of Mickey Bach's cartoons.",images\apiary_90_0.jpg,http://www.wordinfo.info/words/images/apiary-1.jpg
appease,"appease
2. To calm, to satisfy: May's boss, Mr. Big, wanted to
appease
3. To bring calm to; to soothe: Trudy tried to
appease
4. To satisfy or to relieve: The nurse tried to appease the mans thirst by giving him some water to drink.
5. To pacify or to attempt to pacify an enemy by granting concessions, often at the expense of principles: The nation
appeased
6. Etymology: from Old French
apeser
a paisier
a-
pais
pacem, pax
appeased
Appeasing
so you can see more of Mickey Bach's cartoons.",images\appease_91_0.jpg,http://www.wordinfo.info/words/images/appease-1.jpg
appraise,,,
apprise,"appraise
apprise
a prize",images\apprise_93_0.jpg,http://www.wordinfo.info/words/images/apprise-1.jpg
badger,"badgers
badgers
badgers
badgers
badgers
badgers
badgers
badgers
badgers
badgers
badgers
badger
badger
badger
badgers
badgers
badger
badgers
badger
badgers
badgers
badgers
badgers
badgers
badgers
badgers
Badgers
badgers
badgers
badgers

Smithsonian Animal
Dorling Kindersley; London; 2011; pages 192-193.


Macmillan Illustrated Animal Encyclopedia
MacMillan Publishing Company; New York; 1984; pages 88-89.


The Encyclopedia of Mammals
Facts On File Publications; New York; 1985; pages 130-132,","images\badger_94_0.jpg,images\badger_94_1.jpg,images\badger_94_2.jpg,images\badger_94_3.jpg,images\badger_94_4.jpg,images\badger_94_5.jpg,images\badger_94_6.jpg,images\badger_94_7.jpg","http://www.wordinfo.info/words/images/badger-American-1.jpg,http://www.wordinfo.info/words/images/badger-American-2.jpg,http://www.wordinfo.info/words/images/badger-honey-1.jpg,http://www.wordinfo.info/words/images/badger-Eurasian-1.jpg,http://www.wordinfo.info/words/images/badger-hog-1.jpg,http://www.wordinfo.info/words/images/badger-stink-1.jpg,http://www.wordinfo.info/words/images/Badger-Chinese-ferret-1.jpg,http://www.wordinfo.info/words/images/badger-1.jpg"
bait,"bait
bait
2. To get someone excited by exposing something desirable to that person while keeping it out of reach: Gus wanted to
bait
3. To put a lure or enticement such as a worm on a fishing hook: Carol's brother taught her how to
bait
bate",,
baleful,"baleful
2. Harmful or deadly; full of menacing or malign influences; pernicious: Lane and Trisha experienced the
baleful
baneful","images\baleful_96_0.jpg,images\baleful_96_1.jpg,images\baleful_96_2.jpg,images\baleful_96_3.jpg","http://www.wordinfo.info/words/images/baleful-1.jpg,http://www.wordinfo.info/words/images/baleful-2.jpg,http://www.wordinfo.info/words/images/baleful-3.jpg,http://www.wordinfo.info/words/images/baleful-4.jpg"
balk,,,
banal,"banal
2. Dull, especially due to overuse or over familiarity: The editor rejected the author's work because it was too trite and
banal
3. Etymology:
banal
ban
-al
banal
banal
banal
common people

Family Word Finder
Pleasantville, New York; 1975; page 79.

so you can see more of Mickey Bach's cartoons.","images\banal_98_0.jpg,images\banal_98_1.jpg","http://www.wordinfo.info/words/images/banal-1.jpg,http://www.wordinfo.info/words/images/banal-2.jpg"
barbaric,"barbarians
2. Hoodlum, roughneck: Young
barbarians
3. Anti-intellectual, lowbrow, illiterate: The
barbarian
barbarian
barbaric
barbaric
barbaric
barbarism
2. The use of words or forms felt to be incorrect or nonstandard; a specific word or form so used: Using the word ""ain't"" is considered a
barbarism
barbarous
2. Coarse, crude, vulgar: The letter of complaint was written in
barbarous",,
arrogance,"arrogance
2. An offensive display of superiority or self-importance: The group was shocked by the
arrogance",,
articulate,"articulate
articulate
so you can see more of Mickey Bach's cartoons.",images\articulate_101_0.jpg,http://www.wordinfo.info/words/images/articulate-1.jpg
articulate,"articulate
articulate
so you can see more of Mickey Bach's cartoons.",images\articulate_102_0.jpg,http://www.wordinfo.info/words/images/articulate-1.jpg
artefact,,,
ascend,"ascending
2. Sloped or to slanted upward: Several paths
ascended
3. To rise to a higher or more powerful position in a government, company, etc.: A new national government recently
ascended",,
ascendancy,"ascendancy
2. A situation or condition that prevails when one person or group has control over other people: Jack and Susan werent getting along in their marriage because the
ascendancy",,
ascertain,"ascertain
2. To learn or to find out about something; such as, information or the truth: Debora's doctors have been unable to
ascertain
ascertained
acertainen
acerteiner
acertener
a-
ad
certus
cernere

so you can see more of Mickey Bach's cartoons.","images\ascertain_106_0.jpg,images\ascertain_106_1.jpg","http://www.wordinfo.info/words/images/ascertain-1.jpg,http://www.wordinfo.info/words/images/ascertain-2.jpg"
ashen,,,
asterisk,"2. In linguistics, the figure of a star (*) used to mark an utterance that would be considered ungrammatical or otherwise unacceptable by native speakers of a language, as in >I>* I enjoy to ski",,
astringent,"2. A substance or preparation; such as, alum, that draws together or constricts body tissues and is effective in stopping the flow of blood or other secretions.
Astringents
astringents
astringents
astringent
astringents
astringents",,
atheism,atheism,,
atonement,,,
attune,,,
audacious,"audacious
2. Extremely bold or daring; recklessly brave: Mildred's father was an
audacious
3. Extremely original; without restriction to prior ideas; highly inventive: The mayoral candidate had an
audacious
4. Recklessly defiant of convention, propriety, law, etc.: Joe's
audacious
5. Lively; unrestrained; uninhibited: The actress had an
audacious
6. Referring to a person who shows an impudent lack of respect: The student made an
audacious
7. Etymology: Formed from Latin
audac
audax
audere
avidus

so you can see more of Mickey Bach's cartoons.","images\audacious_113_0.jpg,images\audacious_113_1.jpg","http://www.wordinfo.info/words/images/audacious-1.jpg,http://www.wordinfo.info/words/images/audacious-2.jpg"
august,,,
auspicious,"auspicious
2. Attended by favorable circumstances; propitious: Since the company was making so much money, it seemed to be an
auspicious
3. Promising success; propitious; opportune; favorable: It was an
auspicious
4. Favored by good fortune and prosperity: Because of her beautiful and unique art work, Madeline experienced more
auspicious
5. A good omen or prophetic sign indicating, or suggesting, that future success is possible: It was an
auspicious
auspicious
inauspicious
augur
Auspicium
auspex
inaugurare
inaugurare
inaugurate
auspex
auspex
augur
avis
garrire
augurism
augury
inaugurare
Encyclopedia of Word and Phrase Origins, Revised and Expanded Edition
Revised and Expanded Edition
Facts On File, Inc.; New York; 1997; page 20.

so you can see more of Mickey Bach's cartoons.","images\auspicious_115_0.jpg,images\auspicious_115_1.jpg,images\auspicious_115_2.jpg,images\auspicious_115_3.jpg,images\auspicious_115_4.jpg","http://www.wordinfo.info/words/images/auspic-1st.gif,http://www.wordinfo.info/words/images/auspicious-2.jpg,http://www.wordinfo.info/words/images/auspicious-3.jpg,http://www.wordinfo.info/words/images/auspic-1-Thumb-sm.gif,http://www.wordinfo.info/words/images/inauspic-Thumb-sm.gif"
